1UserName,2TopicID,3DocID,4ThreadID,5Parent,6Children,7Text,8Label
南加大CPD,0,0,3731074750277011,-1,"1,2,4,5",网络战 中的 虫 群 战术 玩过 “ 星际争霸 ” 这款 游戏 的 人 都 应该 知道 虫 群 的 厉害 如今 伊拉克 反政府 武装 伊拉克 和 黎凡特 伊斯兰 国 isis 正在 运用 类似 的 战术 培养 大批 “ 媒体 圣战者 ” 运用 社交媒体 进行 百团大战 式 的 传播 ali fisher 通过 数据 分析 isis 如何 利用 社交媒体 进行 舆论 造势 http,0
狗尾巴花花,0,1,3731074750277011,0,,不知道 运用 新媒体 那 就是 自己 制造 灾难 ！,-1
南加大CPD,0,2,3731074750277011,0,3,悉尼 劫持 案 应当 让 国人 认识 到 isis 伊黎 对 世界和平 的 威胁 程度 可能 要 比 你 想象 中的 高 如今 社交媒体 已经 成为 了 恐怖分子 招兵买马 动摇 年轻人 思想 的 阵地 cpd 特约 作者 运用 数据 为 我们 展开 isis 利用 社交媒体 传播 极端 思想 的 路线图,0
海ER哥我是克鲁德,0,3,3731074750277011,2,,推特 这种 地方 能 一直 允许 这些 动物 堂而皇之 的 开设 账号 进行 广播 本来 就 挺 吊诡 的,-1
南加大CPD,0,4,3731074750277011,0,,法国 杂志社 遇袭 恐怖分子 利用 社交媒体 招兵买马 发动 “ 独狼 式 ” 恐怖袭击,0
snowflying_chen,0,5,3731074750277011,0,,技术 好 高超,0
海尔冷柜冻之道,0,0,3752859822643460,-1,"1,4,5,6,7,8",朋友 们 期待 很久 了 吧 悦冻 帅 富豪 闪耀 上市 了 ！ 风冷 无霜 百变 空间 深度 冷藏 时刻 新鲜 即 日起 至 月日 想要 的 小伙伴 快 来 预约 了 今年 最好的 冷柜 你 还在 等 什么 ？ 立即 预约 快 戳 http,0
全球热门搞笑汇,0,1,3752859822643460,0,"2,3",站 着 的 冰柜 你 见过 么 ？,0
布鲁特多雅,0,2,3752859822643460,1,,这个 棒 [ 花心 ] 还是 无霜 的 哈哈 我来 预约 了,0
窝窝军团_灭eag,0,3,3752859822643460,1,,不错 ！ 好想 买 回家 [ 笑 哈哈 ],0
我清涟不妖,0,4,3752859822643460,0,,站 着 的 冰柜 你 见过 么 ？,0
菜鸟出山lee,0,5,3752859822643460,0,,这个 还 不错,1
睁只,0,6,3752859822643460,0,,真的 是 酷毙了 [ 嘻嘻 ],1
九师师长,0,7,3752859822643460,0,,[ 嘻嘻 ] [ 太 开心 ] 这 冰柜 果然 够 气派,1
丝意盎然,0,8,3752859822643460,0,9,赶紧 买 回家 正好 要 装修 房子 哈哈哈,1
劳资_yun,0,9,3752859822643460,8,,这个 棒 [ 花心 ] 还是 无霜 的 哈哈 我来 预约 了,1
河北卫视明星同乐会,0,0,3753669906238324,-1,"1,2,3,4,5,6,7,8",同粉 互动 今晚 “ 青歌 小王子 ” 刘和 刚 光临 明星 同乐 会 小编 喊 您看 节目 拿 大奖 被 刘和 刚 称为 “ 三剑客 ” 的 是 哪 三位 ？ 二哥 带来 的 vcr 中 第一位 出现 的 人物 是谁 ？ 二哥 除外 回答 问题 并 @ 五位 好友 即可 参与 抽奖 三部 红米 手机 等 亲来 拿 ！ 次日 小编 还会 从中 抽取 名 幸运 观众 送出 元 手机 充值卡 ！,0
今生无可救药,0,1,3753669906238324,0,,哈哈 爆发 吧 无地自容,0
迩么的,0,2,3753669906238324,0,,李斌 大哥 你 能 再 坏点 不 唱 了 半天 你 不是 要 的 这个 哈哈,0
Smile熊孩纸,0,3,3753669906238324,0,,明星 同乐 会 被 刘和 刚 称为 “ 三剑客 ” 的 是 刘和 刚 闫培庆 李勇 二哥 带来 的 vcr 中 第一位 出现 的 是 海龙 @ @ @ kevin @ @,0
拽L少,0,4,3753669906238324,0,,明星 同乐 会 宝宝 好 可爱 呀 以后 也是 音乐 王子,1
美欣雨季,0,5,3753669906238324,0,,真的 是 多才多艺 呢 不 简单 啊,1
阿吉爱楠楠,0,6,3753669906238324,0,,我爱 小编 姐姐 我爱 红米 手机 求 姐姐 送 手机 啊,1
Dz·杰克琼斯,0,7,3753669906238324,0,,很多 年前 无意 看到 一个 节目 看到 了 刘和 刚 才 知道 他 是 个 大 孝子 好 老公 真心 祝福 他 全家 欢乐 ！ 幸福 一生 ！,1
头条新闻娱乐,0,8,3753669906238324,0,,@ 的 小编 就是 好 今晚 看 节目 赢 手机 粉粉们 赶紧 行动 吧 ！,0
全球头条新闻事件,0,0,3756086157084994,-1,"1,2,3,4",[ 话筒 ] 扩散 这些 来电 都是 骗钱 的 ！ 演员 汤唯 今年 月 在 上海 遭遇 电信 诈骗 损失 万余元 月日 “ 小龙女 ” 李若彤 的 经纪人 因 电信 诈骗 被 卷走 万 近日 人 境外 电信 诈骗 团伙 受审 两月 内 骗取 人 余万 诈骗 手法 防不胜防 但 万变不离其宗 冲钱 来 ！ 刷新 防骗 知识 让 骗子 无缝 可 钻 ！ [ 话筒 ],0
用户paji1r4fvz,0,1,3756086157084994,0,,小 伙伴们 请 注意 啊 ~ [ 围观 ] 刷新 防骗 知识 让 骗子 无缝 可 钻 ！ [ 哼 ],-1
用户fm6ojphx54,0,2,3756086157084994,0,,怒转 ！ ！ ！ [ 躁狂症 ] [ 躁狂症 ] [ 躁狂症 ],-1
用户cj8il3vek8,0,3,3756086157084994,0,,嘿嘿 ！ 生在 象牙塔 的 明星 们 钱 多 也 不是 这么 费 的 不是 吸毒 就是 被 诈骗 ！ 安全 意识 和 健康 意识 也 忒 差 了 ！ 我 也 遇到 过 吼吼 比 你们 强 ！ 我 没 相信 ！ 嘿嘿 ！ bc,-1
没有人爱8870_48e,0,4,3756086157084994,0,,像 我 这种 穷 逼 我 就是 受骗 也 就 损失 几十块 钱,-1
全球头条新闻事件,0,0,3756609845229335,-1,"1,2,3,4,5,6,7,8,9,10,11",新 大头 儿子 和 小头 爸爸 之 秘密 计划 月日 上映 ！ ！ 好 期待 有木有 ？ http,1
纶shinee,0,1,3756609845229335,0,,好哇 [ 兔子 ] 我 感动 了,1
暴徒丶Ruffian,0,2,3756609845229335,0,,&&& 感觉 真挺 悬疑 的 有 看头,1
舒刚刚,0,3,3756609845229335,0,,&&& 现在 的 电影 卖 的 就是 诱惑力,0
挑战极限的猫,0,4,3756609845229335,0,,棒极了 [ 转发 ],1
曾经市一中,0,5,3756609845229335,0,,大头 大头 下雨不愁 人家 有 伞 我 有 大头 ！ 哈哈哈,1
济源市环球集团,0,6,3756609845229335,0,,毁 童年 [ 汗 ] [ 生病 ],-1
一起又看流星雨很发光,0,7,3756609845229335,0,,[ 心 ] 真是 个 不错 的 电影,1
嗳艺zqy,0,8,3756609845229335,0,,这个 棒 [ 花心 ] 主角 叫 什么 名字,1
台灯下的你我,0,9,3756609845229335,0,,看 过 几集 觉得 没有 原来 好看 形象 姑且 不说 围裙 妈妈 的 声音 一听 就是 一个 中年人 的 而且 口气 有 点 装腔作势 不 自然,-1
尼彩mo,0,10,3756609845229335,0,,大头 儿子 和 小头 爸爸 大手 牵 小手 的 快乐 温馨 期待 重温 ！ [ 爱你 ] [ 爱你 ],1
往事依稀LL,0,11,3756609845229335,0,,很 有 挑战 的 哇 [ 奥特曼 ],0
控烟集结号,0,0,3758357271445051,-1,"1,3,4,10,11,12",阻止 死亡 营销 就 差 你 一票 ！ 孩子们 为什么 被 吸烟 的 “ 魅力 ” 所惑 他们 又 何时 偷偷 吸 了 第一 口烟 悄悄 学会 了 吞 can 云 hai 吐 jian 雾 kang ？ 是谁 在 助长 烟草 消费 ？ 烟草 广告 ！ 广告法 重新 修订 保护 我们 的 孩子 到 中国人 大网 给 广告法 修订 草案 提 建议 支持 全面 禁止 烟草 广告 http,0
育儿成长小百科,0,1,3758357271445051,0,2,你知道吗 ？ 五至 六岁 中国 儿童 能 识别 出 至少 一种 卷烟 商标 支持 全面 禁止 烟草 广告 保护 孩子 远离 烟草 诱惑 ！ 就 等你 发声 ！,-1
陕西尚美童,0,2,3758357271445051,1,,保护 孩子 健康 成长 拒绝 烟草 ！,-1
那年夏天雨未停,0,3,3758357271445051,0,,吸烟 的 危害 太 大了 呼吁 烟友 停止 吸烟,-1
十年砍柴,0,4,3758357271445051,0,"5,7",我 已经 上 全国人大 这个 网站 发表 意见 建议 禁止 一切 形式 的 烟草 广告,-1
冰雪聪明110,0,5,3758357271445051,4,6,烟酒 广告 都 应 禁止 ！,-1
榭方信,0,6,3758357271445051,5,,电影 里 明星 抽烟 好帅 这 大概 是 很多 蠢 逼 抽烟 的 心理,-1
汉风和雨,0,7,3758357271445051,4,8,已提 建议 希望 有所 改变,-1
方流芳,0,8,3758357271445051,7,9,在 美国 烟民 对 烟草 公司 的 集体诉讼 是 律师 的 投资 热点 投行 也 把 此类 诉讼 纳入 风投 提供 诉讼 借款 中国人 这么 会 赚钱 怎么 没有 看到 这 一点 呢 ？,-1
三月槿,0,9,3758357271445051,8,,烟草 杀人 于 无形中 支持,-1
