1UserName,2TopicID,3DocID,4ThreadID,5Parent,6Children,7Text
衣锦夜行的燕公子,0,0,3512534461952614,-1,"1,8,9,12,13,14",自从我姐生了孩子就开始学做面食，包包子蒸馒头，非常勤快。我说，这是宝宝给你带来爱的力量吗？她说，不是的。小孩子唯一的好处就是无论你做的多烂都有人吃。
衣锦夜行的燕公子,0,1,3512534461952614,0,"2,3,4,5,6,7","爱看我表姐段子的,献上"
若_之,0,2,3512534461952614,1,,说句题外的，二战以后日本饮食西化，吃面食逐渐多起来，而直接导致日本人的身材增高。
风吹麦浪求开心每一天,0,3,3512534461952614,1,,啊哈哈哈
王木木还是要克制,0,4,3512534461952614,1,,评论更好看
Tingboo婷宝,0,5,3512534461952614,1,,绝对是真的，哪怕我做出像一堆烂狗屎一样食物，我儿子照样吃的吧唧吧唧[嘻嘻]
宫小猫_老三妈,0,6,3512534461952614,1,,养狗也是
狸狸安小姐,0,7,3512534461952614,1,,哈哈哈哈
小博影,0,8,3512534461952614,0,,[哈哈][哈哈][哈哈][哈哈]
土猫少年,0,9,3512534461952614,0,"10,11",一个真实的故事:我妈挖了一勺西瓜 没拿稳掉地上了 她捡起来就要塞我嘴里 见我很诧异地看着她 突然笑着说 “不好意思啊我以为你还是小时候呢” [呵呵][呵呵][呵呵]
皓阳_Jack,0,10,3512534461952614,9,,hhhhhhhhaaaa
夏侯允-Y,0,11,3512534461952614,9,,这真是亲妈无疑[笑cry]
王小四4ever,0,12,3512534461952614,0,,哈哈哈哈哈哈
尤西鲁good_bunny,0,13,3512534461952614,0,,嗯，自己都吃不下去的小满也会满足滴吃完[兔子]
涅槃景天_兜售别克,0,14,3512534461952614,0,,@土猫少年:一个真实的故事:我妈挖了一勺西瓜 没拿稳掉地上了 她捡起来就要塞我嘴里 见我很诧异地看着她 突然笑着说 “不好意思啊我以为你还是小时候呢” [呵呵]
全球头条新闻事件,0,0,3752471996298979,-1,"1,2,3,4,5,6,7,8,9","这是关于感恩的游戏，别人对你的关爱，你要懂得感恩； 这是关于创意的游戏，我们鼓励方式创新与窝心； 这是关于团队的游戏，只有足够的朋友帮助，你才能够完成； 今天，这个游戏终于上线，他不只是游戏，更是一份情感。 9月8,9,10日，关注微信号“TRTJK-365”，立即行动！让我们带你一起穿越时空隧道。"
LOHASME,0,1,3752471996298979,0,,算见识到了，真滴不错
杰出的蠢材,0,2,3752471996298979,0,,嘿嘿，很久没转别人的东东了
金吉列之英国资深顾问崔凝,0,3,3752471996298979,0,,真牛的，[可爱]小编我太爱你啦~~
虎蹲,0,4,3752471996298979,0,,是哒！！是哒！！！是不错啊！！！
单純已過--成熟未滿,0,5,3752471996298979,0,,果断关注。[微风]
斌舵110,0,6,3752471996298979,0,,嘻嘻....
911独立评论员,0,7,3752471996298979,0,,都支持我也支持吧 哈哈！！！！
杨伟波-烟台文诚教育,0,8,3752471996298979,0,,好吧 我也了[心心]
盈丰南通和奇祥汽车店,0,9,3752471996298979,0,,互动下[哈哈]
全球头条新闻事件,0,0,3753524594701843,-1,"1,2,4",【这些日用品是“潜伏杀手”，寿命到了要立刻丢掉！】①厨房抹布：使用寿命2周；②牙刷：每天刷牙两次，使用寿命约为3个月；③枕芯：1—2年，否则易滋生霉菌、螨虫；③不粘锅：脱漆立换，否则有毒性……日用品“寿命”其实没那么长，以下与健康相关的20件物品，如果超过使用期限，应该首先考虑更换↓↓
吴懿911,0,1,3753524594701843,0,,@扬州TJ
星星星星星星饭,0,2,3753524594701843,0,3,转发微博
释真悟德梦,0,3,3753524594701843,2,,长知识?
妈妈爸爸在线,0,4,3753524594701843,0,5,转发微博
嘉翰有约,0,5,3753524594701843,4,,只有牙刷做到了，以后注意
全球头条新闻事件,0,0,3755855973343778,-1,"1,2,3,4,5,6",80周年生日大趴来了介么多滴重量级奥运会冠军，安利纽崔莱与中国奥委会之间真是有解不开的情缘呀~话说纽崔莱可是从2000年以来，接连四度支持了中国的奥运体育代表团，为我们滴冠军们提供了棒棒哒营养保健品哟~下面让小编给各位看官们解说一下纽崔莱与中国奥委会之间不得不说的亲密接触吧~
_练川乌贼,0,1,3755855973343778,0,,[给力]小伙伴们走起[爱心传递]
零雨飛,0,2,3755855973343778,0,,[转发]不错哦，博主分享的好东西………
潮龟龟,0,3,3755855973343778,0,,恩恩 我们大家都这么认为
宇字偕老,0,4,3755855973343778,0,,喜欢的感觉[玫瑰][笑哈哈]
天宇宝宝,0,5,3755855973343778,0,,好开心的来支ǎ持你 [花心]
漫天的凄美,0,6,3755855973343778,0,,围观围观！
全球头条新闻事件,0,0,3756511312660710,-1,"1,2,3",#从“星”开始，扒开高冷，猛戳逗萌#各位美女，各位帅哥看过来[吃惊]咖啡陪你今天就来扒一扒我们的“高冷帝”——秀贤欧巴[阴险][鼓掌]！外表冷酷神秘来自星星的外星人，实际上却是个外冷心热萌男一个[抱抱]，那些木头脸神马的不过都是伪装，话不多说，开扒[哈哈][嘻嘻]！
丿k丶浩,0,1,3756511312660710,0,,恩？还有扮演成这样的形象？太不可思议了
凉薄惜尘世丶,0,2,3756511312660710,0,,快点来我们这里吧吧，我请你吃饭
最爱正太什么的,0,3,3756511312660710,0,,貌似眼神的诱惑力这么大啊
云飞鹤舞农牧业,0,0,3757643153320991,-1,"1,2,3,6,7,8,9,10",你有见过在葵花盘上的葵花籽吗？你有尝试过在葵花盘上直接拔着瓜子吃吗？从东北田间地里到你身边，9月22日-9月28日的“汇吃·挑食”让你一“朝”尝鲜。通榆新鲜葵花盘，现采现发，顺丰包邮直达，给您最新鲜的体验！点此“任意门”进入http://t.cn/Rh07KWA @三千禾旗舰店
全球热门头条事件,0,1,3757643153320991,0,,号外号外！挑食挑中通榆葵花盘啦~@云飞鹤舞农牧业
全球头条新闻事件,0,2,3757643153320991,0,,号外号外！挑食挑中通榆葵花盘啦~@云飞鹤舞农牧业
中国吃货排行榜,0,3,3757643153320991,0,"4,5",号外号外！挑食挑中通榆葵花盘啦~@云飞鹤舞农牧业
伪锁邸,0,4,3757643153320991,3,,[good]手持酱油低头猛走！
昼精霏树鸿亮俭昱,0,5,3757643153320991,3,,亲朋友好友各种来鼎力支持~~~~
梵思国际,0,6,3757643153320991,0,,[给力]博主牛班
德致辉征伯传润羡瑞笑,0,7,3757643153320991,0,,[给力]
奇东祥群群炯,0,8,3757643153320991,0,,你的大眼睛，明亮又闪亮，好可爱哦。
